Rank,Player Name,Team,Points,Errors,Attemps,Average Per Match,Success,Total
1,Michieletto,ITA,11,12,51,2.75,14.86,74
2,Kaziyski,BUL,8,17,36,2.0,13.11,61
3,Podraščanin,ITA,6,10,36,1.5,11.54,52
3,Leon,POL,6,15,20,1.5,14.63,41
3,Semeniuk,POL,6,10,33,1.5,12.24,49
3,Plotnytskyi,UKR,6,8,20,1.5,17.65,34
4,Giannelli,ITA,5,11,46,1.25,8.06,62
5,Kelvi,BRA,4,6,10,1.0,20.0,20
5,Vissotto,BRA,4,8,26,1.0,10.53,38
5,Lopez,CUB,4,15,23,1.0,9.52,42
6,Paulo,BRA,3,6,7,0.75,18.75,16
6,Honorato,BRA,3,9,24,0.75,8.33,36
6,Rodriguinho,BRA,3,6,20,0.75,10.34,29
6,Lucas,BRA,3,13,36,0.75,5.77,52
6,Lavia,ITA,3,12,26,0.75,7.32,41
6,Russo,ITA,3,7,30,0.75,7.5,40
7,William,BRA,2,2,32,0.5,5.56,36
7,Arthur,BRA,2,5,21,0.5,7.14,28
7,Amin,IRI,2,7,21,1.0,6.67,30
7,Oppenkoski,BRA,2,9,5,0.5,12.5,16
7,Otávio,BRA,2,12,40,0.5,3.7,54
7,Roque,BRA,2,4,6,1.0,16.67,12
7,Sbertoli,ITA,2,11,48,0.5,3.28,61
7,Lisinac,SRB,2,13,33,0.5,4.17,48
7,Herrera,CUB,2,11,9,0.5,9.09,22
7,Rychlicki,ITA,2,10,14,0.5,7.69,26
7,Flavio,BRA,2,3,28,0.5,6.06,33
7,Cardenas,CUB,2,5,3,0.5,20.0,10
8,Estrada,FIV,1,8,32,0.25,2.44,41
8,Resley,BRA,1,1,15,0.25,5.88,17
8,Juninho,BRA,1,3,36,0.25,2.5,40
8,André S.,BRA,1,1,6,0.25,12.5,8
8,Amir Reza,IRI,1,2,12,0.5,6.67,15
8,Saberi,IRI,1,1,2,0.5,25.0,4
8,Wallace,BRA,1,8,33,0.25,2.38,42
8,Vaccari,BRA,1,8,35,0.25,2.27,44
8,Nicolas,ARG,1,6,9,0.5,6.25,16
8,Lucas,BRA,1,8,13,0.5,4.55,22
8,Sole,ITA,1,5,20,0.25,3.85,26
9,Matheus,BRA,0,11,17,0.0,0.0,28
9,Henrique,BRA,0,0,0,,,0
9,Maique,BRA,0,0,0,,,0
9,Marcus,BRA,0,4,4,0.0,0.0,8
9,Fallah,IRI,0,3,14,0.0,0.0,17
9,H. Zarini,IRI,0,2,6,0.0,0.0,8
9,Hazrat,IRI,0,0,0,,,0
9,A. Shafiei,IRI,0,0,0,,,0
9,A. Afshinfar,IRI,0,4,9,0.0,0.0,13
9,Mashhadi,IRI,0,0,8,0.0,0.0,8
9,R. Aslani,IRI,0,0,0,,,0
9,A. Tashakori,IRI,0,3,29,0.0,0.0,32
9,P. Fayazi,IRI,0,5,26,0.0,0.0,31
9,Vadi,IRI,0,0,24,0.0,0.0,24
9,Reza,IRI,0,0,0,,,0
9,Guilherme,BRA,0,0,1,0.0,0.0,1
9,Lukinha,BRA,0,0,0,,,0
9,Uriarte,ARG,0,7,25,0.0,0.0,32
9,Bauer,BRA,0,0,0,,,0
9,C. Souza,BRA,0,2,3,0.0,0.0,5
9,Rodrigo,BRA,0,0,4,0.0,0.0,4
9,Carlos,BRA,0,0,5,0.0,0.0,5
9,Bryan,BRA,0,0,0,,,0
9,Samuel,BRA,0,0,0,,,0
9,Lucas Borges,BRA,0,2,10,0.0,0.0,12
9,Adriano,BRA,0,3,17,0.0,0.0,20
9,Everaldo,BRA,0,0,2,0.0,0.0,2
9,Gonzalez,ARG,0,1,16,0.0,0.0,17
9,Franck,BRA,0,2,4,0.0,0.0,6
9,Lima,BRA,0,1,2,0.0,0.0,3
9,Barreto,BRA,0,0,15,0.0,0.0,15
9,Brito,BRA,0,0,0,,,0
9,Alexandre,BRA,0,0,0,,,0
9,Nelli,ITA,0,0,0,,,0
9,D'heer,BEL,0,0,0,,,0
9,Dzavoronok,CZE,0,1,2,0.0,0.0,3
9,Cavuto,ITA,0,0,0,,,0
9,Pace,ITA,0,0,0,,,0
9,Berger,ITA,0,0,0,,,0
9,Depalma,ITA,0,0,0,,,0
9,Laurenzano,ITA,0,0,0,,,0
9,Piccinelli,ITA,0,0,0,,,0
9,Colaci,ITA,0,0,0,,,0
9,Ropret,SLO,0,1,2,0.0,0.0,3
9,Mengozzi,ITA,0,0,0,,,0
