Rank,Player Name,Team,Succesful,Errors,Attemps,Average Per Match,Success,Total
1,Danani,ARG,39,11,90,7.8,27.86,140
2,Ngapeth,FRA,35,1,74,7.0,31.82,110
3,Andringa,NED,34,3,49,8.5,39.53,86
3,Facu,ARG,34,3,81,6.8,28.81,118
4,Thales,BRA,33,6,87,4.71,26.19,126
4,Kovačič,SLO,33,11,99,4.71,23.08,143
5,Reichert,GER,31,4,37,7.75,43.06,72
6,Milad,IRI,29,8,79,7.25,25.0,116
7,Kovalov,UKR,27,8,77,5.4,24.11,112
8,Ran,JPN,25,4,53,6.25,30.49,82
8,Zatorski,POL,25,1,90,3.57,21.55,116
9,Plotnytskyi,UKR,24,1,53,4.8,30.77,78
9,Balaso,ITA,24,6,89,3.43,20.17,119
10,Garcia,CUB,22,3,52,5.5,28.57,77
10,Grebennikov,FRA,22,5,56,4.4,26.51,83
10,Zenger,GER,22,6,43,5.5,30.99,71
10,Čebulj,SLO,22,10,125,3.14,14.01,157
10,Ivović,SRB,22,4,55,5.5,27.16,81
11,Nikola,QAT,21,4,47,7.0,29.17,72
11,Subaşı,TUR,21,2,68,5.25,23.08,91
11,Tuinstra,NED,21,3,48,5.25,29.17,72
12,Clevenot,FRA,20,7,51,4.0,25.64,78
12,Urnaut,SLO,20,9,95,2.86,16.13,124
12,Zhang J.Y.,CHN,20,4,47,6.67,28.17,71
12,Cabrera,PUR,20,3,43,6.67,30.3,66
12,Michieletto,ITA,20,6,101,2.86,15.75,127
13,Katic,SRB,19,5,27,4.75,37.25,51
14,Lopez,CUB,18,5,62,4.5,21.18,85
14,A.Said,EGY,18,8,37,6.0,28.57,63
14,Hazrat,IRI,18,6,62,4.5,20.93,86
15,Semeniuk,POL,17,11,85,2.43,15.04,113
15,Lavia,ITA,17,8,105,2.43,13.08,130
15,Marshall,CAN,17,3,36,5.67,30.36,56
16,Leal,BRA,16,11,142,2.29,9.47,169
16,Lucarelli,BRA,16,6,53,2.29,21.33,75
16,Ishikawa,JPN,16,5,51,4.0,22.22,72
16,M. Reda,EGY,16,0,48,5.33,25.0,64
16,Maar,CAN,16,5,35,5.33,28.57,56
17,Yant,CUB,15,5,57,3.75,19.48,77
17,Tillie,FRA,15,1,19,3.0,42.86,35
17,Śliwka,POL,15,14,103,2.14,11.36,132
17,Döne,TUR,15,6,42,3.75,23.81,63
17,Kanaiev,UKR,15,7,64,3.0,17.44,86
18,Yamamoto,JPN,14,5,44,3.5,22.22,63
18,Vicentin,ARG,14,6,50,2.8,20.0,70
18,Vargas,PUR,14,6,31,4.67,27.45,51
19,Russell,USA,13,4,86,2.6,12.62,103
19,V. Ivanov,BUL,13,7,34,4.33,24.07,54
19,A. Nikolov,BUL,13,13,60,4.33,15.12,86
19,Landry,CMR,13,4,51,4.33,19.12,68
19,Güngör,TUR,13,5,48,3.25,19.7,66
19,Yang Y.M.,CHN,13,3,23,4.33,33.33,39
19,Issa,EGY,13,6,44,4.33,20.63,63
20,Fromm,GER,12,3,20,3.0,34.29,35
20,Hmissi S,TUN,12,4,42,3.0,20.69,58
21,Fuentes,MEX,11,4,44,3.67,18.64,59
21,Ter Horst,NED,11,6,41,2.75,18.97,58
22,Mergarejo,CUB,10,2,57,2.5,14.49,69
22,Renan,QAT,10,6,38,3.33,18.52,54
22,Sulaiman,QAT,10,0,31,3.33,24.39,41
22,Defalco,USA,10,6,60,2.0,13.16,76
22,Fornal,POL,10,2,37,1.43,20.41,49
22,Morteza,IRI,10,0,27,2.5,27.03,37
22,Molina,PUR,10,7,34,3.33,19.61,51
22,Barnes,CAN,10,1,21,3.33,31.25,32
23,Diez,FRA,9,1,7,1.8,52.94,17
23,E. Shoji,USA,9,2,68,1.8,11.39,79
23,Bravo,MEX,9,5,40,3.0,16.67,54
23,Yu Y.T.,CHN,9,4,27,3.0,22.5,40
23,Martinez Franchi,ARG,9,0,9,1.8,50.0,18
23,Karamosli E,TUN,9,7,53,2.25,13.04,69
24,Djam,CMR,8,2,20,2.67,26.67,30
24,Jorna,NED,8,3,8,2.0,42.11,19
24,Kovačević,SRB,8,5,40,2.0,15.09,53
25,Lopez,MEX,7,3,42,2.33,13.46,52
25,Esfandiar,IRI,7,1,17,1.75,28.0,25
25,Hoag,CAN,7,2,21,2.33,23.33,30
26,Brand,GER,6,0,5,1.5,54.55,11
26,Popiwczak,POL,6,0,4,0.86,60.0,10
26,Badawe,CMR,6,3,17,2.0,23.08,26
26,Elhossiny,EGY,6,1,8,2.0,40.0,15
26,Bouguerra.A,TUN,6,9,36,1.5,11.76,51
26,Lopez,PUR,6,2,20,2.0,21.43,28
27,Louati,FRA,5,3,19,1.0,18.52,27
27,Muagututia,USA,5,3,16,1.0,20.83,24
27,Hile,CMR,5,3,29,1.67,13.51,37
27,Toukhteh,IRI,5,1,2,1.25,62.5,8
27,B.Othmen M.,TUN,5,3,11,1.25,26.32,19
28,Rodriguinho,BRA,4,2,28,0.57,11.76,34
28,Simón,CUB,4,0,6,1.0,40.0,10
28,Schott,GER,4,0,16,1.0,20.0,20
28,Karlitzek,GER,4,3,26,1.0,12.12,33
28,Rodriguez,MEX,4,0,2,1.33,66.67,6
28,Asparuhov,BUL,4,3,43,1.33,8.0,50
28,Wang B.,CHN,4,0,9,1.33,30.77,13
28,Deyo,EGY,4,3,13,1.33,20.0,20
28,Semeniuk,UKR,4,0,3,0.8,57.14,7
29,Adriano,BRA,3,3,22,0.43,10.71,28
29,Otsuka,JPN,3,1,13,0.75,17.65,17
29,Martinez,MEX,3,0,3,1.0,50.0,6
29,Sanay,MEX,3,1,17,1.0,14.29,21
29,Sokolov,BUL,3,3,6,1.0,25.0,12
29,Podraščanin,ITA,3,0,0,0.75,100.0,3
29,Scanferla,ITA,3,0,4,0.43,42.86,7
30,Bojan,QAT,2,0,9,0.67,18.18,11
30,Anderson,USA,2,3,32,0.4,5.41,37
30,Kurek,POL,2,0,4,0.29,33.33,6
30,Grozdanov,BUL,2,0,1,0.67,66.67,3
30,Možič,SLO,2,5,18,0.29,8.0,25
30,Bitouna,CMR,2,2,7,0.67,18.18,11
30,Yang T.Y.,CHN,2,1,6,0.67,22.22,9
30,Lima B.,ARG,2,0,5,0.4,28.57,7
30,Palacios,ARG,2,1,38,0.4,4.88,41
30,Palonsky,ARG,2,1,12,0.4,13.33,15
30,Petric,SRB,2,2,12,0.5,12.5,16
31,Wallace,BRA,1,0,4,0.14,20.0,5
31,Lucas,BRA,1,0,1,0.14,50.0,2
31,Flavio,BRA,1,0,2,0.14,33.33,3
31,Osoria,CUB,1,0,2,0.25,33.33,3
31,J. Gutierrez,CUB,1,0,3,0.25,25.0,4
31,Y.Oughlaf,QAT,1,0,2,0.33,33.33,3
31,M. Essam,QAT,1,0,6,0.33,14.29,7
31,Belal,QAT,1,0,1,0.33,50.0,2
31,Chinenyeze,FRA,1,0,1,0.2,50.0,2
31,Krage,GER,1,0,0,0.25,100.0,1
31,Smith,USA,1,0,4,0.2,20.0,5
31,Kochanowski,POL,1,0,3,0.14,25.0,4
31,Kwolek,POL,1,0,9,0.14,10.0,10
31,Gotsev,BUL,1,0,1,0.33,50.0,2
31,Pajenk,SLO,1,0,6,0.14,14.29,7
31,Deffo,CMR,1,0,4,0.33,20.0,5
31,Bassoko,CMR,1,1,11,0.33,7.69,13
31,M. Lagumdzija,TUR,1,0,12,0.25,7.69,13
31,Dai Q.Y.,CHN,1,3,4,0.33,12.5,8
31,Zhang Z.J.,CHN,1,0,1,0.33,50.0,2
31,Van Garderen,NED,1,1,12,0.25,7.14,14
31,J.Manavi,IRI,1,1,10,0.25,8.33,12
31,Mojarad,IRI,1,0,2,0.25,33.33,3
31,Del Valle,PUR,1,0,0,0.33,100.0,1
31,Nieves,PUR,1,1,2,0.33,25.0,4
31,Rodriguez,PUR,1,0,5,0.33,16.67,6
31,Pekovic,SRB,1,0,0,0.25,100.0,1
31,Loeppky,CAN,1,2,10,0.33,7.69,13
32,Bruno,BRA,0,0,0,,,0
32,Fernando,BRA,0,0,0,,,0
32,Maique,BRA,0,0,1,0.0,0.0,1
32,Leandro,BRA,0,0,0,,,0
32,Roque,BRA,0,0,0,,,0
32,Darlan,BRA,0,0,0,,,0
32,Sánchez B.,CUB,0,0,0,,,0
32,Concepcion,CUB,0,0,0,,,0
32,Gutierrez,CUB,0,0,0,,,0
32,Taboada,CUB,0,0,0,,,0
32,Herrera,CUB,0,0,0,,,0
32,Goide,CUB,0,0,2,0.0,0.0,2
32,Gorguet,CUB,0,0,0,,,0
32,Nishida,JPN,0,0,3,0.0,0.0,3
32,Onodera,JPN,0,1,5,0.0,0.0,6
32,Yamauchi,JPN,0,0,3,0.0,0.0,3
32,Takanashi,JPN,0,0,0,,,0
32,Sekita,JPN,0,0,3,0.0,0.0,3
32,Oya,JPN,0,0,0,,,0
32,Ogawa,JPN,0,0,0,,,0
32,Miyaura,JPN,0,0,1,0.0,0.0,1
32,Sato,JPN,0,0,0,,,0
32,Murayama,JPN,0,0,0,,,0
32,Milos,QAT,0,0,0,,,0
32,Ababacar,QAT,0,0,0,,,0
32,Mubarak,QAT,0,0,0,,,0
32,Abdullah,QAT,0,0,0,,,0
32,Ibrahim,QAT,0,0,4,0.0,0.0,4
32,A. Jamal,QAT,0,0,0,,,0
32,Osman,QAT,0,0,0,,,0
32,Patry,FRA,0,0,1,0.0,0.0,1
32,Toniutti,FRA,0,0,0,,,0
32,Brizard,FRA,0,0,3,0.0,0.0,3
32,Boyer,FRA,0,0,1,0.0,0.0,1
32,Le Goff,FRA,0,0,5,0.0,0.0,5
32,Henry,FRA,0,0,0,,,0
32,Jouffroy,FRA,0,0,2,0.0,0.0,2
32,Sossenheimer,GER,0,0,0,,,0
32,Kampa,GER,0,0,2,0.0,0.0,2
32,Zimmermann,GER,0,0,0,,,0
32,Weber,GER,0,0,2,0.0,0.0,2
32,Krick,GER,0,0,2,0.0,0.0,2
32,Maase,GER,0,2,2,0.0,0.0,4
32,Günthör,GER,0,0,0,,,0
32,Jendryk,USA,0,0,5,0.0,0.0,5
32,Ensing,USA,0,0,0,,,0
32,Christenson,USA,0,0,1,0.0,0.0,1
32,K. Russell,USA,0,0,0,,,0
32,Tuaniga,USA,0,0,0,,,0
32,Averill,USA,0,0,0,,,0
32,Briggs,USA,0,0,0,,,0
32,Kessel,USA,0,0,0,,,0
32,Mendoza,MEX,0,1,3,0.0,0.0,4
32,Ferran,MEX,0,0,0,,,0
32,Gonzalez,MEX,0,0,0,,,0
32,Mendoza,MEX,0,0,0,,,0
32,Aranda,MEX,0,0,1,0.0,0.0,1
32,Chavez,MEX,0,0,0,,,0
32,Baca,MEX,0,0,0,,,0
32,Lopez B.,MEX,0,0,0,,,0
32,Kaczmarek,POL,0,0,0,,,0
32,Kłos,POL,0,0,0,,,0
32,Łomacz,POL,0,0,1,0.0,0.0,1
32,Janusz,POL,0,0,0,,,0
32,Bieniek,POL,0,0,1,0.0,0.0,1
32,Poręba,POL,0,0,0,,,0
32,Karyagin,BUL,0,0,0,,,0
32,Chavdarov,BUL,0,0,0,,,0
32,Kolev,BUL,0,0,0,,,0
32,Atanasov,BUL,0,2,4,0.0,0.0,6
32,D. Dimitrov,BUL,0,0,0,,,0
32,Skrimov,BUL,0,0,0,,,0
32,Seganov,BUL,0,0,1,0.0,0.0,1
32,S.Ivanov,BUL,0,2,10,0.0,0.0,12
32,T. Štern,SLO,0,1,1,0.0,0.0,2
32,Kozamernik,SLO,0,0,4,0.0,0.0,4
32,Gasparini,SLO,0,0,0,,,0
32,Vinčić,SLO,0,0,4,0.0,0.0,4
32,Štalekar,SLO,0,0,0,,,0
32,Koncilja,SLO,0,0,0,,,0
32,Klobucar,SLO,0,0,0,,,0
32,Z. Štern,SLO,0,0,0,,,0
32,Ropret,SLO,0,0,1,0.0,0.0,1
32,Ahmed,CMR,0,0,0,,,0
32,Amabaya,CMR,0,0,0,,,0
32,Kofane,CMR,0,0,1,0.0,0.0,1
32,Dolengombai,CMR,0,0,0,,,0
32,Mandengo,CMR,0,0,0,,,0
32,Kody,CMR,0,0,0,,,0
32,Voukeng,CMR,0,2,0,0.0,0.0,2
32,Metin T.,TUR,0,0,0,,,0
32,Bostan,TUR,0,0,0,,,0
32,Ekşi,TUR,0,1,0,0.0,0.0,1
32,A. Lagumdzija,TUR,0,0,0,,,0
32,Güneş,TUR,0,0,6,0.0,0.0,6
32,Bayraktar,TUR,0,0,0,,,0
32,Tümer,TUR,0,0,0,,,0
32,Gürbüz,TUR,0,0,0,,,0
32,Doğukan U.,TUR,0,0,0,,,0
32,Bedirhan,TUR,0,0,4,0.0,0.0,4
32,Zhang B.L.,CHN,0,0,0,,,0
32,Yu Y.C.,CHN,0,0,1,0.0,0.0,1
32,Li Y.Z.,CHN,0,1,0,0.0,0.0,1
32,Liu M.,CHN,0,0,0,,,0
32,Peng S.K.,CHN,0,0,1,0.0,0.0,1
32,Zhang G.H.,CHN,0,0,0,,,0
32,Miao R.T.,CHN,0,0,0,,,0
32,Keemink,NED,0,0,1,0.0,0.0,1
32,Van Der Ent,NED,0,0,0,,,0
32,Plak,NED,0,1,0,0.0,0.0,1
32,Bleeker,NED,0,0,0,,,0
32,Nimir,NED,0,0,1,0.0,0.0,1
32,Ter Maat,NED,0,0,0,,,0
32,Parkinson,NED,0,0,6,0.0,0.0,6
32,De Weijer,NED,0,0,0,,,0
32,Wiltenburg,NED,0,0,0,,,0
32,A. Fathy,EGY,0,0,0,,,0
32,A. Seoudy,EGY,0,1,2,0.0,0.0,3
32,Dola,EGY,0,1,1,0.0,0.0,2
32,M. Ramadan,EGY,0,0,0,,,0
32,Hossam,EGY,0,0,0,,,0
32,M.Elmahdy,EGY,0,0,0,,,0
32,A. Kotb,EGY,0,0,0,,,0
32,R.Haikal,EGY,0,1,0,0.0,0.0,1
32,M. Magdy,EGY,0,0,0,,,0
32,Sanchez Pages,ARG,0,0,0,,,0
32,Gallego,ARG,0,0,0,,,0
32,Loser Bruno,ARG,0,1,5,0.0,0.0,6
32,De Cecco,ARG,0,0,1,0.0,0.0,1
32,Ramos,ARG,0,0,2,0.0,0.0,2
32,Zerba,ARG,0,0,1,0.0,0.0,1
32,Kukartsev,ARG,0,0,0,,,0
32,Jelveh,IRI,0,0,0,,,0
32,Shahrooz,IRI,0,0,0,,,0
32,M. R. Moazzen,IRI,0,0,0,,,0
32,Kazemi,IRI,0,2,0,0.0,0.0,2
32,Amin,IRI,0,0,1,0.0,0.0,1
32,Vadi,IRI,0,0,1,0.0,0.0,1
32,Javad,IRI,0,0,0,,,0
32,Kadhi A,TUN,0,1,2,0.0,0.0,3
32,Ben Slimene K,TUN,0,0,1,0.0,0.0,1
32,Abdelhedi Y,TUN,0,0,0,,,0
32,Agrebi O,TUN,0,2,4,0.0,0.0,6
32,Nagga H.,TUN,0,1,5,0.0,0.0,6
32,Bennour R.,TUN,0,0,0,,,0
32,Mbareki S.,TUN,0,0,0,,,0
32,Ben Taher.M,TUN,0,0,1,0.0,0.0,1
32,Bongui.A,TUN,0,0,0,,,0
32,Korbosli T,TUN,0,2,11,0.0,0.0,13
32,Lawrence,PUR,0,1,0,0.0,0.0,1
32,Hoyos,PUR,0,0,3,0.0,0.0,3
32,Torres,PUR,0,0,0,,,0
32,Iglesias,PUR,0,0,0,,,0
32,Nido,PUR,0,0,0,,,0
32,Alomar,PUR,0,0,0,,,0
32,Elias,PUR,0,0,0,,,0
32,Poluian,UKR,0,1,10,0.0,0.0,11
32,Drozd,UKR,0,0,2,0.0,0.0,2
32,Shevchenko,UKR,0,0,0,,,0
32,Brova,UKR,0,0,0,,,0
32,Ostapenko,UKR,0,0,0,,,0
32,Fomin,UKR,0,0,0,,,0
32,Tupchii,UKR,0,0,0,,,0
32,Shchytkov,UKR,0,0,1,0.0,0.0,1
32,Kisiliuk,UKR,0,0,0,,,0
32,Synytsia,UKR,0,0,1,0.0,0.0,1
32,Krsmanović,SRB,0,0,0,,,0
32,Jovović,SRB,0,0,0,,,0
32,Perić,SRB,0,0,0,,,0
32,Atanasijević,SRB,0,0,0,,,0
32,Mašulović N.,SRB,0,0,0,,,0
32,Lisinac,SRB,0,0,2,0.0,0.0,2
32,Todorović,SRB,0,0,0,,,0
32,Petkovic,SRB,0,1,0,0.0,0.0,1
32,Pinali,ITA,0,0,0,,,0
32,Recine,ITA,0,0,3,0.0,0.0,3
32,Giannelli,ITA,0,0,3,0.0,0.0,3
32,Sbertoli,ITA,0,0,0,,,0
32,Bottolo,ITA,0,0,0,,,0
32,Galassi,ITA,0,1,5,0.0,0.0,6
32,Romanò,ITA,0,0,2,0.0,0.0,2
32,Anzani,ITA,0,1,6,0.0,0.0,7
32,Russo,ITA,0,0,3,0.0,0.0,3
32,Mosca,ITA,0,0,0,,,0
32,Epp,CAN,0,0,1,0.0,0.0,1
32,Walsh,CAN,0,0,0,,,0
32,Sclater,CAN,0,0,0,,,0
32,Eshenko,CAN,0,0,0,,,0
32,Van Berkel,CAN,0,0,1,0.0,0.0,1
32,Hofer,CAN,0,0,0,,,0
32,Szwarc,CAN,0,0,0,,,0
32,Howe,CAN,0,0,2,0.0,0.0,2
32,M. Elser,CAN,0,0,0,,,0
